property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,0.0,0.0,0.072941851,200
1,1-2,UNSAT,0.0,0.0,0.051668581,100
1,1-3,UNSAT,0.0,0.0,0.071859053,200
1,1-4,UNSAT,0.0,0.0,0.047699069,100
1,1-5,UNSAT,0.0,0.0,0.035772341,100
1,1-6,UNSAT,0.0,0.0,0.048138006,100
1,1-7,UNSAT,0.0,0.0,0.034221653,100
1,1-8,UNSAT,0.0,0.0,0.027998091,100
1,1-9,UNSAT,0.0,0.0,0.030148839,100
1,2-1,UNSAT,0.0,0.0,0.059025579,100
1,2-2,UNSAT,0.0,0.0,0.183003372,400
1,2-3,UNSAT,0.0,0.0,0.079387031,200
1,2-4,UNSAT,0.0,0.0,0.069121554,200
1,2-5,UNSAT,0.0,0.0,0.404579625,1100
1,2-6,UNSAT,0.0,0.0,0.22734438,600
1,2-7,UNSAT,0.0,0.0,1.579961715,4600
1,2-8,UNSAT,0.0,0.0,3.574043257,11200
1,2-9,UNSAT,0.0,0.0,3.231415075,9900
1,3-1,UNSAT,0.0,0.0,0.200857211,500
1,3-2,UNSAT,0.0,0.0,0.110601701,300
1,3-3,UNSAT,0.0,0.0,0.133768413,300
1,3-4,UNSAT,0.0,0.0,0.086548548,200
1,3-5,UNSAT,0.0,0.0,0.532740733,1500
1,3-6,UNSAT,0.0,0.0,0.889908999,2400
1,3-7,UNSAT,0.0,0.0,0.993301206,2900
1,3-8,UNSAT,0.0,0.0,1.168701717,3400
1,3-9,UNSAT,0.0,0.0,3.558361692,12100
1,4-1,UNSAT,0.0,0.0,0.275210907,700
1,4-2,UNSAT,0.0,0.0,0.141934561,300
1,4-3,UNSAT,0.0,0.0,0.11066713,300
1,4-4,UNSAT,0.0,0.0,0.071416975,200
1,4-5,UNSAT,0.0,0.0,0.196271012,500
1,4-6,UNSAT,0.0,0.0,1.511935877,4100
1,4-7,UNSAT,0.0,0.0,3.122954262,9400
1,4-8,UNSAT,0.0,0.0,1.054304583,3100
1,4-9,UNSAT,0.0,0.0,7.287050984,23700
1,5-1,UNSAT,0.0,0.0,0.101762794,200
1,5-2,UNSAT,0.0,0.0,0.102509424,300
1,5-3,UNSAT,0.0,0.0,0.048799733,100
1,5-4,UNSAT,0.0,0.0,0.051018615,100
1,5-5,UNSAT,0.0,0.0,0.149073015,400
1,5-6,UNSAT,0.0,0.0,0.696771081,2000
1,5-7,UNSAT,0.0,0.0,0.771389515,2300
1,5-8,UNSAT,0.0,0.0,1.468454036,4800
1,5-9,UNSAT,0.0,0.0,1.150073881,3200
2,1-1,unsat,1.0,1.0,11.257994318,8597
2,1-2,sat,0.0,0.0,9.899200346,10000
2,1-3,sat,0.0,0.0,16.728860274,16000
2,1-4,sat,0.0,0.0,5.148551211,5300
2,1-5,sat,0.0,0.0,9.03625786,7300
2,1-6,sat,0.0,0.0,1.087787391,600
2,1-7,unsat,1.0,1.0,16.636845399,14602
2,1-8,unsat,1.0,1.0,10.112496632,9414
2,1-9,unsat,1.0,1.0,16.99197323,16569
2,2-1,sat,0.0,0.0,0.811102159,600
2,2-2,sat,0.0,0.0,0.235965351,100
2,2-3,sat,0.0,0.0,0.607419258,400
2,2-4,sat,0.0,0.0,0.18850814,100
2,2-5,sat,0.0,0.0,0.234626474,100
2,2-6,sat,0.0,0.0,0.24812107,100
2,2-7,sat,0.0,0.0,0.264843073,100
2,2-8,sat,0.0,0.0,0.209460105,100
2,2-9,sat,0.0,0.0,6.738179266,5900
2,3-1,sat,0.0,0.0,0.466049676,200
2,3-2,sat,0.0,0.0,2.622992051,2400
2,3-3,inconclusive,0.0,1.0,41.849723461,50000
2,3-4,sat,0.0,0.0,0.352141189,200
2,3-5,sat,0.0,0.0,2.225546515,1400
2,3-6,sat,0.0,0.0,0.224708456,100
2,3-7,sat,0.0,0.0,0.238560934,100
2,3-8,sat,0.0,0.0,0.221186661,100
2,3-9,sat,0.0,0.0,0.270572212,100
2,4-1,sat,0.0,0.0,0.240997971,100
2,4-2,inconclusive,0.0,1.0,42.262362821,50000
2,4-3,sat,0.0,0.0,0.209594818,100
2,4-4,sat,0.0,0.0,0.194977602,100
2,4-5,sat,0.0,0.0,0.25735169,100
2,4-6,sat,0.0,0.0,0.231309203,100
2,4-7,sat,0.0,0.0,0.219402088,100
2,4-8,sat,0.0,0.0,0.245055082,100
2,4-9,sat,0.0,0.0,30.004393986,33400
2,5-1,sat,0.0,0.0,0.344526467,200
2,5-2,sat,0.0,0.0,1.944320214,1700
2,5-3,inconclusive,0.0,1.0,40.424457995,50000
