property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,0.0,0.0,0.134670858,104
1,1-2,UNSAT,0.0,0.0,0.057058861,86
1,1-3,UNSAT,0.0,0.0,0.067088709,134
1,1-4,UNSAT,0.0,0.0,0.040424924,74
1,1-5,UNSAT,0.0,0.0,0.031103633,60
1,1-6,UNSAT,0.0,0.0,0.03319869,58
1,1-7,UNSAT,0.0,0.0,0.024142836,34
1,1-8,UNSAT,0.0,0.0,0.014879949,19
1,1-9,UNSAT,0.0,0.0,0.010140287,13
1,2-1,UNSAT,0.0,0.0,0.048126172,99
1,2-2,UNSAT,0.0,0.0,0.187841721,388
1,2-3,UNSAT,0.0,0.0,0.061571938,147
1,2-4,UNSAT,0.0,0.0,0.0584345,124
1,2-5,UNSAT,0.0,0.0,0.383299897,1025
1,2-6,UNSAT,0.0,0.0,0.219108957,539
1,2-7,UNSAT,0.0,0.0,1.55498779,4569
1,2-8,UNSAT,0.0,0.0,3.58967309,11164
1,2-9,UNSAT,0.0,0.0,3.250976687,9845
1,3-1,UNSAT,0.0,0.0,0.186298356,465
1,3-2,UNSAT,0.0,0.0,0.092736332,209
1,3-3,UNSAT,0.0,0.0,0.105101718,262
1,3-4,UNSAT,0.0,0.0,0.082434732,196
1,3-5,UNSAT,0.0,0.0,0.519548967,1470
1,3-6,UNSAT,0.0,0.0,0.868664506,2302
1,3-7,UNSAT,0.0,0.0,0.999059243,2812
1,3-8,UNSAT,0.0,0.0,1.173410675,3388
1,3-9,UNSAT,0.0,2.4113994294694407e-5,3.673811844,12074
1,4-1,UNSAT,0.0,0.0,0.274683443,691
1,4-2,UNSAT,0.0,0.0,0.1216479,251
1,4-3,UNSAT,0.0,0.0,0.092552805,233
1,4-4,UNSAT,0.0,0.0,0.071244099,140
1,4-5,UNSAT,0.0,0.0,0.186630973,473
1,4-6,UNSAT,0.0,0.0,1.542396475,4098
1,4-7,UNSAT,0.0,0.0,3.742333547,9335
1,4-8,UNSAT,0.0,0.0,1.073202971,3004
1,4-9,UNSAT,0.0,4.92151421971343e-6,7.71109403,23685
1,5-1,UNSAT,0.0,0.0,0.09011118,168
1,5-2,UNSAT,0.0,0.0,0.10956033,231
1,5-3,UNSAT,0.0,0.0,0.043178528,87
1,5-4,UNSAT,0.0,0.0,0.039905161,85
1,5-5,UNSAT,0.0,0.0,0.14858194,369
1,5-6,UNSAT,0.0,9.15439997060119e-5,0.704335838,1932
1,5-7,UNSAT,0.0,0.0,0.796237884,2263
1,5-8,UNSAT,0.0,0.0,1.576042845,4730
1,5-9,UNSAT,0.0,0.0,1.203348309,3167
2,1-1,unsat,1.0,1.0,11.881664942,8597
2,1-2,sat,0.0,0.0,10.477084203,9955
2,1-3,sat,0.0,0.0,17.519062958,15832
2,1-4,sat,0.0,0.0,5.252928205,5046
2,1-5,sat,0.0,0.0,9.072837321,7082
2,1-6,sat,0.0,0.0,0.86409386,410
2,1-7,unsat,1.0,1.0,17.00535135,14602
2,1-8,unsat,1.0,1.0,10.28216574,9414
2,1-9,unsat,1.0,1.0,16.86837443,16569
2,2-1,sat,0.0,0.0,0.128706053,58
2,2-2,sat,0.0,0.0,0.133145913,30
2,2-3,sat,0.0,0.0,0.003392723,1
2,2-4,sat,0.0,0.0,0.109424636,30
2,2-5,sat,0.0,0.0,0.00337474,1
2,2-6,sat,0.0,0.0,0.003550098,1
2,2-7,sat,0.0,0.0,0.003359586,1
2,2-8,sat,0.0,0.0,0.003617223,1
2,2-9,sat,0.0,0.0,6.834932023,5836
2,3-1,sat,0.0,0.0,0.003216534,1
2,3-2,sat,0.0,0.0,0.143636108,39
