property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,-Inf,-0.004710756469957111,0.092990485,45
1,1-2,UNSAT,-Inf,-0.026503099328216706,0.110726696,64
1,1-3,UNSAT,-Inf,-0.0682947252853856,0.2556187,164
1,1-4,UNSAT,-Inf,-0.04828000555267131,0.152040495,98
1,1-5,UNSAT,-Inf,-0.07720307889701505,0.065444763,40
1,1-6,UNSAT,-Inf,-0.0073100711497664506,0.107872486,57
1,1-7,UNSAT,-Inf,-0.24482140365474248,0.069019941,38
1,1-8,UNSAT,-Inf,-0.6655350894458101,0.032618601,25
1,1-9,UNSAT,-Inf,-0.25931314027304553,0.044031074,22
1,2-1,UNSAT,-Inf,-0.08260665572280157,0.184872813,123
1,2-2,UNSAT,-4.0122127459,-0.013059149876120557,0.373177318,245
1,2-3,UNSAT,-Inf,-0.014978107062295187,0.252482193,167
1,2-4,UNSAT,-Inf,-0.04040861216373193,0.132546472,79
1,2-5,UNSAT,-3.9662306508517116,-0.00015218224088453525,0.504412611,351
1,2-6,UNSAT,-4.0115976459,-0.014789400912007977,0.536314754,347
1,2-7,UNSAT,-4.009914028987652,-0.021286841348547192,0.988490191,690
1,2-8,UNSAT,-4.012330795574006,-0.061768507296824815,1.240593761,854
1,2-9,UNSAT,-3.9709267307687406,-0.028942559572534776,1.589516077,768
1,3-1,UNSAT,-4.011302388412822,-0.01943996119834157,0.29506259,209
1,3-2,UNSAT,-Inf,-0.17684518716717523,0.193651823,130
1,3-3,UNSAT,-Inf,-0.013098646257918567,0.220584133,156
1,3-4,UNSAT,-Inf,-0.10350667053937279,0.161754733,107
1,3-5,UNSAT,-Inf,-0.09379936866126126,0.277845222,194
1,3-6,UNSAT,-3.966113118882074,-0.007945613708674415,1.610692986,1149
1,3-7,UNSAT,-3.966634380481258,-0.002432898080780177,1.048575,737
1,3-8,UNSAT,-3.9680964917448436,-4.5027463169589055e-5,0.681898525,483
1,3-9,UNSAT,-4.012761184644966,-0.01364953666637625,1.389546233,975
1,4-1,UNSAT,-4.0119954459,-0.00857010599695851,0.574795315,409
1,4-2,UNSAT,-Inf,-0.030492711012172435,0.245349908,164
1,4-3,UNSAT,-Inf,-0.024834293430949117,0.197782512,128
1,4-4,UNSAT,-Inf,-0.10589909311228807,0.157203834,107
1,4-5,UNSAT,-4.0117771459,-0.0197701599115927,0.625094546,444
1,4-6,UNSAT,-3.9604707777515387,-0.00018845371975473313,1.700799305,1215
1,4-7,UNSAT,-4.004513595346147,-0.0032954153498714334,1.510380509,1088
1,4-8,UNSAT,-4.01186259226975,-0.01341797786355059,0.968482594,683
1,4-9,UNSAT,-3.9704909907196435,-0.028024727593949805,1.708508693,1200
1,5-1,UNSAT,-Inf,-0.02612821479738603,0.185105974,124
1,5-2,UNSAT,-Inf,-0.03579249407934881,0.142767423,108
1,5-3,UNSAT,-Inf,-0.2908442610888533,0.124975511,83
1,5-4,UNSAT,-Inf,-0.05974737529143681,0.149661376,104
1,5-5,UNSAT,-4.0126860459,-0.020580762682754106,0.319706977,231
1,5-6,UNSAT,-4.0115849459,-0.008453287562587342,0.786952381,558
1,5-7,UNSAT,-4.0112879459,-0.011297920992154431,0.72985075,512
1,5-8,UNSAT,-4.0112129459,-0.02438639640814344,1.598615719,977
