property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,-4.0089331814603,-0.04495328858388792,0.363440245,186
1,1-2,UNSAT,-4.009285948686193,-0.004153304417187087,0.294893974,357
1,1-3,UNSAT,-4.008232544382781,-0.00010473627552443077,2.917681405,3368
1,1-4,UNSAT,-4.007919891014526,-0.0030209379229404476,2.154959653,2507
1,1-5,UNSAT,-4.008094722516127,-0.009759200432202242,0.68684926,800
1,1-6,UNSAT,-4.00934765613891,-0.006746423162489634,0.180474426,208
1,1-7,UNSAT,-4.0102005014489635,-0.006297241300127876,0.104487557,110
1,1-8,UNSAT,-4.009958821033609,-0.08846132747821311,0.063721577,58
1,1-9,UNSAT,-4.010296282755596,-0.018051894484197195,0.044792369,40
1,2-1,UNSAT,-3.9499690399028076,-0.005404440653855147,1.568489111,1323
1,2-2,UNSAT,-3.9352023093624475,-0.0017074664150094065,1.719720623,2002
1,2-3,UNSAT,-3.9414133483019858,-0.002193242492303238,2.943071293,3271
1,2-4,UNSAT,-3.965450503363853,-0.0008039419124941105,0.932628064,984
1,2-5,UNSAT,-3.95536814970664,-0.005448186470339067,2.810362484,2831
1,2-6,UNSAT,-3.9610677935351073,-0.00010653873111898804,7.498947995,8184
1,2-7,UNSAT,-3.9408211536521183,-0.00017140551711847252,18.551262452,21163
1,2-8,UNSAT,-3.9195767128537726,-0.00033704671321288515,19.229835262,22014
1,2-9,UNSAT,-3.965756341646192,-0.00014311281279333343,15.509443987,17422
1,3-1,UNSAT,-3.930564107585048,-0.001608301005980195,0.701347571,807
1,3-2,UNSAT,-3.9581739582511504,-0.00585014494205538,1.535082275,1776
1,3-3,UNSAT,-3.96691891319144,-0.0004603535204985576,0.614312306,711
1,3-4,UNSAT,-3.9332477361362312,-0.0010810426839995557,0.734256683,862
1,3-5,UNSAT,-3.938734581333569,-0.007402459469965095,1.452560242,1697
1,3-6,UNSAT,-3.9646553660876216,-1.2081249309403574e-5,34.075356299,38156
1,3-7,UNSAT,-3.9409005358429225,-3.5019319224005585e-5,12.321348782,13837
1,3-8,UNSAT,-3.9551367855584423,-0.00022729990300973668,7.181609525,8098
1,3-9,UNSAT,-3.8675193207226424,-7.974820246658965e-5,16.007563028,18135
1,4-1,UNSAT,-3.962743179659852,-0.0005258564075383276,10.518838062,12087
1,4-2,UNSAT,-3.95721008864867,-0.00032182097876898297,1.966279554,2319
1,4-3,UNSAT,-3.949827664772323,-0.0007344939138906881,1.927511111,1756
1,4-4,UNSAT,-3.9352320434290267,-0.0017280021556285163,0.616967877,715
1,4-5,UNSAT,-3.9398450209848814,-0.001074591382092649,7.709240741,8924
1,4-6,UNSAT,-3.9301888750014706,-0.00022692567914361916,22.644683,25344
1,4-7,UNSAT,-3.9290990399979036,-7.009514105504877e-5,33.645062789,38423
1,4-8,UNSAT,-3.883933746539312,-2.3717368264897232e-5,41.835953262,46409
1,4-9,UNSAT,-3.9690770927957706,-1.006240655954116e-5,53.876902977,59678
1,5-1,UNSAT,-3.9470863801827263,-0.002400348951542952,0.709543846,795
1,5-2,UNSAT,-3.963330645748501,-0.01129998804992205,1.119116948,1267
1,5-3,UNSAT,-3.967963913001404,-0.008999932357136586,0.298636776,338
1,5-4,UNSAT,-3.9484810797491168,-0.0011548201177404849,0.876010048,988
1,5-5,UNSAT,-3.948896783697994,-0.0006077015116430218,3.447350767,3888
1,5-6,UNSAT,-3.9567938609853432,-7.360750499696422e-5,43.052807496,47991
1,5-7,UNSAT,-3.929805315280863,-0.0015124489797528895,8.674379017,9385
1,5-8,UNSAT,-3.922219114345651,-0.0002254531103744739,20.321112258,23044
1,5-9,UNSAT,-3.9451946739544503,-1.2641444193661755e-6,11.570296161,13104
2,1-1,unsat,4.3415699184021217e-7,0.0024913144821788556,3.044417268,3214
2,1-2,sat,-0.4487051407739271,-0.00018734619078102847,0.584580527,662
2,1-3,sat,-0.037303965728699345,-0.00013402872731676976,53.630655267,59921
2,1-4,sat,-166.8722981112505,-0.0002113393049292039,0.014192267,15
2,1-5,sat,-0.022074795112545204,-6.350647091264792e-5,15.231136872,17866
2,1-6,sat,-0.0859061293377281,-0.00021246709879007555,6.427069716,7037
2,1-7,inconclusive,-2.1888690630056037e-5,0.0007316642956203359,60.000456704,67114
2,1-8,inconclusive,-0.005848620293530123,0.0007805999999999993,60.000501491,66954
2,1-9,unsat,2.6188128887660866e-9,0.0006703000000000021,46.254698358,51927
2,2-1,sat,-149.60235061791988,-0.0012607008243351544,0.015374754,19
2,2-2,sat,-2228.084350302097,-0.0027680648729612525,0.001282017,2
2,2-3,sat,-365.81295881398404,-0.009295487410674382,0.009275163,9
2,2-4,sat,-366.0183921381382,-0.0010802293309799746,0.005572109,7
2,2-5,sat,-4137.953327578786,-0.006921927156726265,0.001377468,2
2,2-6,sat,-989.2435105531738,-0.002785953230392872,0.056820356,22
2,2-7,sat,-13366.956367651355,-0.0021051527424856276,0.001341238,2
2,2-8,sat,-14856.86208438632,-0.01758044780475819,0.002965818,4
2,2-9,sat,-487.54217621421617,-0.0023603006878917046,0.063733939,73
2,3-1,sat,-350.59266725927023,-0.019963632143010102,0.00468896,5
2,3-2,sat,-156.91424143746013,-0.00016557375758444876,0.012976473,16
2,3-3,inconclusive,-0.23436771914298227,0.0009942044556429156,60.000547596,66499
2,3-4,sat,-62.21075441612493,-0.010894579694127354,0.031990529,37
2,3-5,sat,-1036.2040026781347,-0.008885878809635372,0.00576466,7
2,3-6,sat,-784.1341089628443,-9.403763937743115e-5,0.031885848,41
2,3-7,sat,-15810.424565482384,-0.00742948802791063,0.001968511,3
2,3-8,sat,-10921.443903667245,-2.3660840280138873e-5,0.002908928,3
2,3-9,sat,-19749.73028787095,-0.004315868150433489,0.00169639,2
2,4-1,sat,-274.9143126622388,-0.0007424506021186314,0.008501109,11
2,4-2,inconclusive,-0.23414208093100752,0.0015598430810595913,60.000333188,66759
2,4-3,sat,-843.7721854493313,-0.0082546447710629,0.00339098,4
2,4-4,sat,-382.46915641360096,-0.02134487554653027,0.010148814,11
2,4-5,sat,-3000.5758747667314,-0.014866607310991237,0.007849238,10
2,4-6,sat,-15441.35052781584,-0.02543871082382232,0.001324758,2
2,4-7,sat,-13712.889557261886,-0.00490770212520357,0.001225165,2
2,4-8,sat,-8626.842147351916,-0.0010815774167087372,0.00504785,6
2,4-9,sat,-12529.707945284441,-1.1631761420612119e-5,0.008724567,10
2,5-1,sat,-1495.59762514669,-0.014451599394017037,0.001244507,2
2,5-2,sat,-69.27693474116779,-0.0022372974808631194,0.062839913,26
2,5-3,sat,-0.03677290200475558,7.688638101201834e-5,60.000297252,65414
2,5-4,sat,-744.6536371106056,-0.0010469595932652911,0.062932589,16
2,5-5,sat,-6991.259934521666,-0.01692632768556833,0.001331431,2
2,5-6,sat,-4968.317427820284,-0.004672737038463555,0.004435815,6
2,5-7,sat,-5564.279261105176,-0.008222320247916456,0.008296261,9
2,5-8,sat,-28328.83100811304,-0.014732506765770113,0.001324175,2
2,5-9,sat,-17562.813167511915,-0.009494406212240257,0.001896473,2
3,1-1,inconclusive,-0.05299408067226785,0.01491511519974353,60.000599874,65790
3,1-2,unsat,3.006119019488551e-6,0.04388053215765654,22.90500044,26130
3,1-3,unsat,2.0662542754568136e-7,0.010902980079356007,41.307059687,44977
3,1-4,unsat,7.872437414180311e-7,0.012434022109323215,2.454373325,2771
3,1-5,unsat,6.569187690735889e-6,0.012261833085149023,0.886553529,1048
