property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,-Inf,-0.18838604811834614,0.115414971,43
1,1-2,UNSAT,-Inf,-0.026503099328216706,0.116157294,64
1,1-3,UNSAT,-Inf,-0.0682947252853856,0.264120939,164
1,1-4,UNSAT,-Inf,-0.04828000555267131,0.160485212,98
1,1-5,UNSAT,-Inf,-0.07720307889701505,0.065584558,40
1,1-6,UNSAT,-Inf,-0.0073100711497664506,0.101340273,57
1,1-7,UNSAT,-Inf,-0.24482140365474248,0.066492758,38
1,1-8,UNSAT,-Inf,-0.6655350894458101,0.044384318,25
1,1-9,UNSAT,-Inf,-0.25931314027304553,0.039976079,22
1,2-1,UNSAT,-Inf,-0.08260665572280157,0.191491621,123
1,2-2,UNSAT,-3.963073375335824,-0.013059149876120557,0.432196736,253
1,2-3,UNSAT,-4.0119938459,-0.0011145652688195895,0.453546654,261
1,2-4,UNSAT,-Inf,-0.06294858938822401,0.15920165,95
1,2-5,UNSAT,-3.9662306508517116,-0.00015218224088453525,0.524799691,351
1,2-6,UNSAT,-4.0115976459,-0.015007837277611458,0.519408405,342
1,2-7,UNSAT,-4.010849652408233,-0.021286841348547192,1.092667588,730
1,2-8,UNSAT,-4.012272843632019,-0.061768507296824815,1.290737406,854
1,2-9,UNSAT,-4.01202848611827,-0.028942559572534776,1.141924641,757
1,3-1,UNSAT,-4.011302388412822,-0.01943996119834157,0.332404484,212
1,3-2,UNSAT,-Inf,-0.17684518716717523,0.208658999,127
1,3-3,UNSAT,-Inf,-0.013098646257918567,0.257457519,156
1,3-4,UNSAT,-Inf,-0.10350667053937279,0.17517125,107
1,3-5,UNSAT,-3.9674074900861704,-0.002581943967898681,0.324007884,203
1,3-6,UNSAT,-3.966113118882074,-0.007945613708674415,1.724432198,1149
1,3-7,UNSAT,-3.966634380481258,-0.002432898080780177,1.115403869,737
1,3-8,UNSAT,-4.011813454097672,-0.007116897373638409,0.738835068,483
1,3-9,UNSAT,-4.012761184644966,-0.01364953666637625,1.428774622,975
1,4-1,UNSAT,-4.0119954459,-0.006673050067184327,0.594111126,410
1,4-2,UNSAT,-Inf,-0.007477427433798756,0.291873361,192
1,4-3,UNSAT,-Inf,-0.024834293430949117,0.194681174,128
1,4-4,UNSAT,-Inf,-0.10589909311228807,0.165673166,107
1,4-5,UNSAT,-3.966632474799014,-0.0197701599115927,0.412390322,283
1,4-6,UNSAT,-3.9569873649300518,-0.0025997267216162356,2.01904514,1222
1,4-7,UNSAT,-4.012231769661777,-0.0032954153498714334,1.534769804,1089
1,4-8,UNSAT,-3.9541999185577237,-0.01341797786355059,1.001807256,685
1,4-9,UNSAT,-3.9704909907196435,-0.028024727593949805,1.72596245,1200
1,5-1,UNSAT,-Inf,-0.0561642051304343,0.19236838,128
1,5-2,UNSAT,-Inf,-0.03579249407934881,0.164819919,108
