property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,-4.010540547620846,-0.18838604811834614,0.084991228,43
1,1-2,UNSAT,-4.010847923713829,-0.026503099328216706,0.10506574,64
1,1-3,UNSAT,-4.010449969343325,-0.0682947252853856,0.254040951,164
1,1-4,UNSAT,-4.009728422159266,-0.04828000555267131,0.148553772,98
1,1-5,UNSAT,-4.010805865003568,-0.07720307889701505,0.064292368,40
1,1-6,UNSAT,-4.009327174593244,-0.0073100711497664506,0.092903097,57
1,1-7,UNSAT,-4.010644645426819,-0.24482140365474248,0.07322023,38
1,1-8,UNSAT,-4.010285692134506,-0.6655350894458101,0.034520664,25
1,1-9,UNSAT,-4.0102758454762935,-0.25931314027304553,0.048379132,22
1,2-1,UNSAT,-3.9610402633185555,-0.08260665572280157,0.178012551,123
1,2-2,UNSAT,-3.9464832807728505,-0.013059149876120557,0.390602324,253
1,2-3,UNSAT,-3.9519229795791073,-0.0011145652688195895,0.392756061,261
1,2-4,UNSAT,-3.968317877687066,-0.06294858938822401,0.144103671,95
1,2-5,UNSAT,-3.964398999183439,-0.00015218224088453525,0.519771938,351
1,2-6,UNSAT,-3.966815872826504,-0.015007837277611458,0.514747358,342
1,2-7,UNSAT,-3.957174007804399,-0.021286841348547192,1.087060741,730
1,2-8,UNSAT,-3.9329609562689583,-0.061768507296824815,1.278850948,854
1,2-9,UNSAT,-3.9668904861273706,-0.028942559572534776,1.114995942,757
1,3-1,UNSAT,-3.9317577705717923,-0.01943996119834157,0.317552546,212
1,3-2,UNSAT,-3.9649517817880477,-0.17684518716717523,0.186337749,127
1,3-3,UNSAT,-3.9678442316446323,-0.013098646257918567,0.242796174,156
1,3-4,UNSAT,-3.9611409149433636,-0.10350667053937279,0.160870127,107
1,3-5,UNSAT,-3.9595917172339994,-0.002581943967898681,0.293181264,203
1,3-6,UNSAT,-3.965726871547873,-0.007945613708674415,1.678733819,1149
1,3-7,UNSAT,-3.9468006705644183,-0.002432898080780177,1.112406131,737
1,3-8,UNSAT,-3.964896986052713,-0.007116897373638409,0.718449759,483
1,3-9,UNSAT,-3.8813744020005734,-0.01364953666637625,1.426322849,975
1,4-1,UNSAT,-3.9680094958628267,-0.006673050067184327,0.597807045,410
1,4-2,UNSAT,-3.963668519673886,-0.007477427433798756,0.288646485,192
1,4-3,UNSAT,-3.9464231072429534,-0.024834293430949117,0.192185249,128
1,4-4,UNSAT,-3.9563242863800316,-0.10589909311228807,0.151649699,107
1,4-5,UNSAT,-3.9484842790423405,-0.0197701599115927,0.417258775,283
1,4-6,UNSAT,-3.9438466081818544,-0.0025997267216162356,1.800618618,1222
1,4-7,UNSAT,-3.963149331864475,-0.0032954153498714334,1.586274426,1089
1,4-8,UNSAT,-3.9007177769704486,-0.01341797786355059,1.002404567,685
1,4-9,UNSAT,-3.9697672675213846,-0.028024727593949805,1.770699616,1200
1,5-1,UNSAT,-3.9571461749780594,-0.0561642051304343,0.181979125,128
1,5-2,UNSAT,-3.9636814478950377,-0.03579249407934881,0.168372684,108
