property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,-4.010540547620846,-0.15106125856841235,0.084978389,49
1,1-2,UNSAT,-4.011093935973446,-0.10843335055417924,0.111113475,69
1,1-3,UNSAT,-4.010449969343325,-0.07684899197129713,0.251605679,154
1,1-4,UNSAT,-4.009728422159266,-0.08643309018200895,0.151705249,95
1,1-5,UNSAT,-4.010480891201269,-0.08767149687702669,0.093334602,57
1,1-6,UNSAT,-4.009327174593244,-0.0401150882808996,0.132410371,71
1,1-7,UNSAT,-4.01049697192884,-0.08863961962526012,0.071682176,46
1,1-8,UNSAT,-4.010285692134506,-0.144848715540149,0.054266032,30
1,1-9,UNSAT,-4.0102758454762935,-0.048729812274468376,0.031887968,22
1,2-1,UNSAT,-3.9610402633185555,-0.4455793640191974,0.204230392,112
1,2-2,UNSAT,-3.9519263941638108,-0.006821841235670867,0.488907742,291
1,2-3,UNSAT,-3.9519229795791073,-0.04312896277141132,0.330777736,189
1,2-4,UNSAT,-3.968317877687066,-0.07039875444929855,0.16243056,94
1,2-5,UNSAT,-3.9638194529798674,-0.0048548047359646684,0.582282784,368
1,2-6,UNSAT,-3.966815872826504,-0.04058132525789748,0.643094164,396
1,2-7,UNSAT,-3.9560008817231087,-0.014788438045034269,1.233408895,770
1,2-8,UNSAT,-3.9300828866218622,-0.006282354349092856,1.225338155,754
1,2-9,UNSAT,-3.9668904861273706,-0.0172537666249144,1.327558918,824
1,3-1,UNSAT,-3.930284149681973,-0.00021477185020968292,0.320506714,198
1,3-2,UNSAT,-3.9649517817880477,-0.022235609981229976,0.200941698,128
1,3-3,UNSAT,-3.9673492753061055,-0.005341523984876417,0.26652565,168
1,3-4,UNSAT,-3.9611409149433636,-0.12471328284449523,0.15119945,98
1,3-5,UNSAT,-3.958822561556408,-0.012638980748139517,0.381455846,242
1,3-6,UNSAT,-3.966138582215714,-0.009927021620361742,1.421181641,876
1,3-7,UNSAT,-3.9560469945158845,-0.007822265145268403,1.486729079,812
1,3-8,UNSAT,-3.964896986052713,-0.005100395630818433,1.000527228,619
1,3-9,UNSAT,-3.8966233160960577,-0.01761463719986825,1.497035055,963
1,4-1,UNSAT,-3.9680094958628267,-0.03873728769795459,0.638008987,406
1,4-2,UNSAT,-3.9656238258805643,-0.16634579391769755,0.336058418,207
1,4-3,UNSAT,-3.9464231072429534,-0.08524948925442066,0.242755075,152
1,4-4,UNSAT,-3.9612092772061622,-0.1571688864454801,0.203385656,131
1,4-5,UNSAT,-3.9488852151033376,-0.006788278837157158,0.617198877,389
1,4-6,UNSAT,-3.9418750372404876,-0.006185686501766874,2.015513275,1277
1,4-7,UNSAT,-3.963149331864475,-0.018398627438545034,1.843205886,1180
1,4-8,UNSAT,-3.9007177769704486,-0.003630093632935427,1.171550016,734
1,4-9,UNSAT,-3.9697649580687635,-0.004323679398130054,2.170090497,1370
1,5-1,UNSAT,-3.9578284159440438,-0.06051813716273946,0.231790544,144
