property,network,result,lower_bound,upper_bound,time,steps
1,1-1,UNSAT,-4.009031393410589,-0.00851525645718787,0.136762019,73
1,1-2,UNSAT,-4.009285948686193,-0.10843335055417924,0.106051297,58
1,1-3,UNSAT,-4.008232544382781,-0.014569798579656457,0.217025539,128
1,1-4,UNSAT,-4.008331296943762,-0.4185530182729478,0.144795178,82
1,1-5,UNSAT,-4.007901345736838,-0.017246958742248353,0.09403942,50
1,1-6,UNSAT,-4.00904961725883,-0.0894733879299272,0.094866341,50
1,1-7,UNSAT,-4.010007756161324,-0.14528649194152066,0.080619243,33
1,1-8,UNSAT,-4.010161799206827,-0.144848715540149,0.029414838,16
1,1-9,UNSAT,-4.010146628334225,-0.048729812274468376,0.030571615,14
1,2-1,UNSAT,-3.9469271168483475,-0.13583127203926137,0.177075259,89
1,2-2,UNSAT,-3.936723790738344,-0.014491644587026231,0.394503091,239
1,2-3,UNSAT,-3.941437552792363,-0.030218007155321747,0.268196858,148
1,2-4,UNSAT,-3.965840651255542,-0.3288338172922849,0.181635124,103
1,2-5,UNSAT,-3.922553087663818,-0.002198461614503877,1.720560239,1097
1,2-6,UNSAT,-3.965006257764829,-0.0008299807474685394,0.888184931,556
1,2-7,UNSAT,-3.94874210037417,-0.001175064375480872,5.275376032,3396
1,2-8,UNSAT,-3.9157899079684997,-0.004268757466491024,4.981944269,3058
1,2-9,UNSAT,-3.9660739419739,-0.0005047757234599715,9.949030965,6405
1,3-1,UNSAT,-3.933061832203536,-0.03167056757208275,0.285749465,175
1,3-2,UNSAT,-3.9581739582511504,-0.0015153158286256019,0.337595826,199
1,3-3,UNSAT,-3.9667637224701604,-0.004425030608338432,0.277304435,165
1,3-4,UNSAT,-3.936534284113418,-0.02001224466430651,0.213061776,125
1,3-5,UNSAT,-3.938734581333569,-0.002559943485140437,1.102608532,692
1,3-6,UNSAT,-3.9647506659318728,-0.002175016552274478,3.071384863,1969
1,3-7,UNSAT,-3.947254523500406,-4.6376925598057284e-5,4.054118464,2602
1,3-8,UNSAT,-3.964651547195019,-0.0013320306435986584,4.281332706,2767
1,3-9,UNSAT,-3.904015750867096,-2.172620927254343e-5,22.595589082,15089
1,4-1,UNSAT,-3.9650005521465483,-0.0027364815704071788,1.342863782,859
1,4-2,UNSAT,-3.95721008864867,-0.008545032175022449,0.270260178,154
1,4-3,UNSAT,-3.9457064359958673,-0.0525440969745663,0.212192079,129
1,4-4,UNSAT,-3.9352320434290267,-0.10136361168589758,0.224080069,135
1,4-5,UNSAT,-3.9398450209848814,-0.009299188349405352,0.527676646,325
1,4-6,UNSAT,-3.930232944996142,-0.0014972828310457764,9.983020913,6136
1,4-7,UNSAT,-3.946233915891368,-0.0006338507951966221,14.102609335,9003
1,4-8,UNSAT,-3.901674470732212,-0.0016392825549411683,5.735041286,3669
1,4-9,UNSAT,-3.96922507939035,-0.0001101589647198864,22.255227406,14074
1,5-1,UNSAT,-3.9513095241909606,-0.09416095128513136,0.193070321,106
1,5-2,UNSAT,-3.962525656053622,-0.009030689610040277,0.25051059,132
1,5-3,UNSAT,-3.968081095080901,-0.05688610261535154,0.154370039,88
1,5-4,UNSAT,-3.949807899600588,-0.00922458543997573,0.159000368,98
1,5-5,UNSAT,-3.9517116165913033,-0.007098014569547839,0.592177883,358
1,5-6,UNSAT,-3.962391020029331,-0.0027509174496875843,2.435395383,1517
1,5-7,UNSAT,-3.938460157046191,-0.0017052210829628933,2.15269744,1350
1,5-8,UNSAT,-3.949392691827986,-0.0037891257116524635,6.515615454,4085
1,5-9,UNSAT,-3.948667145469923,-0.0004128156842106989,3.972532765,2503
2,1-1,unsat,2.8380475104142384e-7,0.002486521229796701,11.922424974,8881
2,1-2,sat,-0.00462104297032186,-0.0004952477881443697,2.735976123,1989
2,1-3,sat,-0.006409613002840486,-6.972597938181661e-6,5.757948794,3979
2,1-4,sat,-37.12248493769594,-0.0002113393049292039,0.033055667,14
2,1-5,sat,-0.0067931508210031105,-0.00023667021537268716,2.627759317,1747
2,1-6,sat,-0.002747917780457,-0.00010212357282339112,27.598726888,18808
2,1-7,unsat,3.020602929137018e-6,0.0007342506787799408,3.905278645,2665
2,1-8,unsat,5.635545170380556e-7,0.0007805999999999993,7.535736597,5229
2,1-9,unsat,7.683940682343192e-7,0.0006703000000000021,5.449655956,3763
2,2-1,sat,-277.757211600702,-0.012061388720351498,0.028734594,4
2,2-2,sat,-858.883066407624,-0.025292197271228015,0.005331867,3
2,2-3,sat,-133.8514172088522,-0.012837553609791705,0.022388957,13
2,2-4,sat,-1183.563375176716,-0.0013442321292604711,0.003161214,2
2,2-5,sat,-2901.085009627819,-0.03949769091734863,0.002782788,2
2,2-6,sat,-7895.600503185518,-0.004425097103412413,0.003753592,2
2,2-7,sat,-12428.213950326899,-0.0021051527424856276,0.002725484,2
2,2-8,sat,-22120.68416701924,-0.0457537779336695,0.003715239,2
2,2-9,sat,-3677.810647460645,-0.00014756016370213315,0.012015514,6
2,3-1,sat,-448.48141258143215,-0.02148420887871698,0.004335822,3
2,3-2,sat,-10.441450259224789,-0.0003309285559473171,0.093786858,50
2,3-3,inconclusive,-0.03263840289773329,0.000934438133698401,60.00050723,42648
2,3-4,sat,-69.17228180898535,-0.023601369801452055,0.018890425,11
2,3-5,sat,-797.6963480722984,-0.0031744726968710654,0.005700571,4
2,3-6,sat,-771.11026251725,-1.6141155417530306e-5,0.036117238,22
2,3-7,sat,-20.523017062175462,-2.5058762818934432e-5,0.53859201,317
2,3-8,sat,-12555.486541972869,-0.0014432199454860045,0.00320981,2
2,3-9,sat,-15590.64600907736,-0.004315868150433489,0.028844992,2
2,4-1,sat,-1134.7924528201704,-0.0047790882426707315,0.002548585,2
2,4-2,inconclusive,-0.0185193770499716,0.00143600357793474,60.000812821,41922
2,4-3,sat,-1349.7546089093676,-0.018283586789530494,0.003203185,2
2,4-4,sat,-1441.0216506070758,-0.02134487554653027,0.002598048,2
2,4-5,sat,-2851.141252482969,-0.011123523351684206,0.004799282,3
2,4-6,sat,-10798.765913944426,-0.008387395789408947,0.00287051,2
2,4-7,sat,-12494.720730643756,-0.004198054442028434,0.003793659,2
2,4-8,sat,-7619.174649372673,-0.04924059949455445,0.006976456,4
2,4-9,sat,-16149.209026870201,-1.1631761420612119e-5,0.009639886,5
2,5-1,sat,-981.7678887745607,-0.005664953028234332,0.00488279,3
2,5-2,sat,-245.972911837102,-0.004497958028446859,0.003814356,3
2,5-3,sat,-0.017682105935324932,9.275812874722346e-5,60.004187824,47014
2,5-4,sat,-828.7928146267338,-0.013276520207028075,0.002815389,2
2,5-5,sat,-3194.1877313965138,-0.01692632768556833,0.002879145,2
2,5-6,sat,-8498.759161902908,-0.004434500249810812,0.003421982,2
2,5-7,sat,-15111.69353377524,-0.02224967621860005,0.002526742,2
2,5-8,sat,-21093.505540469218,-0.012781705058085867,0.006890039,3
2,5-9,sat,-12639.334491972271,-0.009494406212240257,0.003352927,2
3,1-1,inconclusive,-0.014927146364876354,0.01638037095240453,60.000792831,47403
3,1-2,unsat,6.430698618054009e-7,0.04380547275946567,5.055344958,3291
3,1-3,unsat,2.6812986902990943e-7,0.012214190468402733,28.506850479,20731
3,1-4,unsat,7.070362377265514e-5,0.012668701426218641,0.128584248,79
3,1-5,unsat,3.9155833465448486e-5,0.012411759128826777,0.476095852,306
3,1-6,unsat,0.002509504285100982,0.005894249920724318,0.005825235,3
3,1-7,sat,-0.005194227543837976,-0.001397156516084331,0.000998117,1
3,1-8,sat,-0.0026588139978998416,-0.0013498983484299257,0.001151714,1
3,1-9,sat,-0.0014725561757659373,-0.0010822992638473115,0.000919008,1
3,2-1,unsat,5.699891441918181e-6,0.03961960601128719,0.914744201,620
3,2-2,unsat,3.5277736411265526e-6,0.028531223770300457,4.540407909,3566
3,2-3,unsat,0.00015758292614806435,0.04119068250870603,0.51168582,348
3,2-4,unsat,0.006250078464606984,0.05425041674155463,0.002466591,2
3,2-5,unsat,0.01767278931964497,0.05139373712853473,0.02637668,19
3,2-6,unsat,0.021924732574904335,0.04413474966028329,0.00384979,3
3,2-7,unsat,0.006099657526959262,0.04466238048359919,0.009300571,7
3,2-8,unsat,0.03241432599863513,0.043148104284871654,0.002785417,2
3,2-9,unsat,0.03583524249968367,Inf,0.000998792,1
3,3-1,unsat,0.0002821891882861527,0.056624584441640036,0.019571873,15
3,3-2,unsat,2.5678269004902887e-5,0.04157292338857801,1.055469444,669
3,3-3,unsat,7.049893902993931e-5,0.06335244719964082,1.120675195,713
3,3-4,unsat,0.008905614916803722,0.05263309563744532,0.0237774,18
3,3-5,unsat,0.002817793378133787,0.04510688622074546,0.008136401,6
3,3-6,unsat,0.0009923161975007727,0.04285359020472165,0.084722209,49
3,3-7,unsat,0.030788001523848772,0.04725750221822798,0.00401625,3
3,3-8,unsat,0.015488584254964743,0.03466775442276817,0.01191378,9
3,3-9,unsat,1.8060010634979307e-5,0.048782168174689056,0.248620828,170
3,4-1,unsat,3.317765470717271e-6,0.021261077370708543,1.301484553,1064
3,4-2,unsat,1.388493270443325e-6,0.026937704540894676,3.965092492,2664
3,4-3,unsat,2.8097997231135707e-5,0.0660745043062313,1.906223891,1341
3,4-4,unsat,0.029380013640901103,0.046339338901773844,0.01128548,5
3,4-5,unsat,0.04706708082764874,0.05385742091085914,0.005073065,4
3,4-6,unsat,0.0007960461498224825,0.04203642317387645,0.015255721,11
3,4-7,unsat,6.65876197161186e-5,0.04253729951796896,0.190567296,128
3,4-8,unsat,0.0009227914573426144,0.04244922215221231,0.010347891,8
3,4-9,unsat,0.02875500947611942,0.041719293776934896,0.013459537,10
3,5-1,unsat,2.1395849926220123e-5,0.03340661333000223,2.560901174,1756
3,5-2,unsat,0.00024271178722190534,0.053730645565387536,0.742461476,638
3,5-3,unsat,0.0012982423473046484,0.05712917573585415,0.034204303,21
3,5-4,unsat,0.000364541692558909,0.04742124832151447,0.010075007,8
3,5-5,unsat,0.0021488145592594987,0.05635690588471644,0.021290899,11
3,5-6,unsat,0.005228537121607785,0.04716509006027758,0.019022708,14
3,5-7,unsat,0.04329066915333685,Inf,0.00089495,1
3,5-8,unsat,0.0010256474717546538,0.040866092624505385,0.08171386,57
3,5-9,unsat,0.016972215541271946,0.04172506851213753,0.003305325,3
4,1-1,unsat,2.54351328532465e-6,0.035014132472069893,18.384718891,13744
4,1-2,unsat,6.33331670185644e-6,0.04144773595093603,6.2699096,4733
4,1-3,unsat,2.0233501749622462e-6,0.0272127692445854,2.689934239,1847
4,1-4,unsat,0.00030426961571569655,0.020853351082439527,0.046040907,35
4,1-5,unsat,3.602183041698237e-5,0.013248884457595563,0.165455516,114
4,1-6,unsat,0.00010866034580645639,0.006767522749542961,0.054492086,37
4,1-7,sat,-0.01231781273127499,-8.719224044156752e-5,0.00111173,1
4,1-8,sat,-0.003602323467390961,-0.0019303511303161642,0.000938151,1
4,1-9,sat,-0.0029846075720670277,-0.0015861435714983377,0.001018046,1
4,2-1,unsat,0.002732712692732314,0.05636136729296338,0.022979716,17
4,2-2,unsat,0.0001731978094684783,0.05663632585155644,0.075723563,50
4,2-3,unsat,0.0037379564489639083,0.04216384813654615,0.0265022,17
4,2-4,unsat,0.001210266689162784,0.04997879359256052,0.006312517,5
4,2-5,unsat,0.001044365320997248,0.048286387593792286,0.015555615,12
4,2-6,unsat,0.0005070766969814712,0.046262535382131625,0.025057347,15
4,2-7,unsat,0.022605698923777395,0.04540566229409035,0.007832363,6
4,2-8,unsat,0.006331589905963664,0.04177890713608922,0.013863671,10
4,2-9,unsat,0.011388561910811112,Inf,0.000920573,1
4,3-1,unsat,0.00016756784341231956,0.1263660565887551,0.081277962,53
4,3-2,unsat,0.004575251720731477,0.09378371626557822,0.016711726,14
4,3-3,unsat,0.025169645428323673,0.09669463939223266,0.010320381,4
4,3-4,unsat,0.012437701238363796,0.06070405156870277,0.005001612,4
4,3-5,unsat,0.0020869837283255255,0.04634015754751294,0.018670148,14
4,3-6,unsat,0.00024607038847782384,0.047983627745582985,0.019600585,11
4,3-7,unsat,0.0006327338579247624,0.04360479060939144,0.009377138,7
4,3-8,unsat,0.002943424250585386,0.03622258428712727,0.01128002,9
4,3-9,unsat,0.0007405930285163086,0.049366435748127685,0.027491868,16
4,4-1,unsat,0.009672018553115003,0.044391962781647455,0.004993523,4
4,4-2,unsat,0.004424734626585949,0.04972843927343846,0.018829641,15
4,4-3,unsat,0.0002739616513807719,0.06021344000197951,0.035631434,24
4,4-4,unsat,9.282763997703336e-5,0.026657609134752628,0.028655748,18
4,4-5,unsat,0.0017338161615111092,0.05423192951258875,0.010553765,8
4,4-6,unsat,0.019931055860037964,0.043839219987107374,0.003688303,3
4,4-7,unsat,0.041257805925140625,0.042205234914332986,0.009431887,8
4,4-8,unsat,0.0011176682202683058,0.04553963938066101,0.01484837,7
4,4-9,unsat,0.0370011213056519,0.04184155053458219,0.005286471,4
