network,gap,lower_bound,upper_bound,time,steps
1-1,0.0009358756097693002,-0.017768583207969105,-0.016832707598199804,0.715490544,465
1-2,0.0008216277837200664,-0.01708845780500534,-0.016266830021285275,2.105298584,1570
1-3,0.0008492414546850124,-0.01598439158812076,-0.015135150133435749,9.944468595,7892
1-4,0.0007926271951024435,-0.015967513946727435,-0.015174886751624992,1.76648261,1145
1-5,0.0009574853396218195,-0.015213503048704658,-0.014256017709082839,1.550129941,1033
1-6,0.0008848669513088665,-0.016450982705201466,-0.0155661157538926,2.804317228,1886
1-7,0.0006952303077312622,-0.01888211026132331,-0.01818687995359205,0.654733427,445
1-8,0.0009287516228083728,-0.018749664166572217,-0.017820912543763844,0.931065195,615
1-9,0.0007065797066991217,-0.019020982434225807,-0.018314402727526685,0.433599633,283
2-1,0.0009571360579322258,0.06451154313660482,0.06546867919453704,8.331987216,7006
2-2,0.0012665179936336146,0.06835548169188924,0.06962199968552285,60.000353816,49379
2-3,0.0009697535423679876,0.05781210589925041,0.0587818594416184,8.737158814,6794
2-4,0.0010123841093946408,0.02666797662411263,0.02768036073350727,60.000893828,52624
2-5,0.0007921150043266323,0.07308933942853812,0.07388145443286476,21.948168646,15692
2-6,0.0008927095774843297,0.03478500449998835,0.03567771407747268,25.279265401,19449
2-7,0.0009953894802966073,0.054293866129023385,0.05528925560931999,34.906927645,25103
2-8,0.0009099542160076329,0.07670841667557138,0.07761837089157901,6.493603341,4719
2-9,0.0070348493547734425,0.02674855313277108,0.03378340248754452,60.000315704,44196
3-1,0.0008846122252951921,0.06817036544856321,0.0690549776738584,21.545730053,16749
3-2,0.0009709459765545464,0.033337555262241816,0.03430850123879636,15.90681022,12442
3-3,0.002706215893288868,0.02630297371556903,0.0290091896088579,60.000975149,47276
3-4,0.0009158849737854607,0.06523392798837292,0.06614981296215838,6.928129243,5726
3-5,0.000900899320169346,0.06158328325075202,0.062484182570921365,9.629620713,7248
3-6,0.006879304210281548,0.02792381919014014,0.03480312340042169,60.010232126,41550
3-7,0.0009700142800028455,0.08640539058543498,0.08737540486543782,21.388535734,16060
3-8,0.0009590036493808823,0.05360798843090349,0.05456699208028437,16.178718791,11470
3-9,0.0009114731292658995,0.12521581209777485,0.12612728522704075,20.384538648,15492
4-1,0.016807664113744507,0.02943550389999356,0.04624316801373807,60.00049141,47434
4-2,0.0009224150195021527,0.03563784509643667,0.036560260115938825,47.796091704,37035
4-3,0.0009291395032060695,0.05021206651159292,0.05114120601479899,20.199481969,16452
4-4,0.0009414673545373176,0.05591624166949366,0.05685770902403098,6.663430258,4871
4-5,0.006858774154256619,0.05302812865218942,0.05988690280644604,60.0004011,45716
4-6,0.01932639616318485,0.07144177716849265,0.0907681733316775,60.000548221,42538
4-7,0.0009217073429388656,0.08041893562064747,0.08134064296358634,16.183919231,11353
4-8,0.0008507839456998595,0.12147890593715867,0.12232968988285853,21.975671269,15799
4-9,0.006967294389773629,0.022050452890972363,0.029017747280745992,60.038971857,43401
5-1,0.0009605912059147681,0.046381203536797894,0.04734179474271266,10.836450284,8689
5-2,0.0014292971137531071,0.030087638994049364,0.03151693610780247,60.000552425,51238
5-3,0.003652324105005947,0.023393877051603104,0.02704620115660905,60.000748402,52359
5-4,0.0009717048523617128,0.04706405675537577,0.04803576160773748,37.124237111,33869
5-5,0.0009736100709084802,0.04253383667643714,0.04350744674734562,16.350918197,12707
5-6,0.0008635934274439372,0.044223828023819106,0.04508742145126304,27.714524156,20389
5-7,0.00035556951716196605,0.06749974092823827,0.06785531044540023,13.415364356,9614
5-8,0.0009095280706073461,0.08226588515611816,0.0831754132267255,11.990187052,8615
5-9,0.0007493954946066472,0.06396545845361026,0.06471485394821691,18.929965354,13774
