network,gap,lower_bound,upper_bound,time,steps
1-1,0.009236489918578367,-0.01790574751058869,-0.008669257592010322,0.419732408,252
1-2,0.008715540519052344,-0.017450030985936293,-0.00873449046688395,1.231352981,868
1-3,0.008490164544852602,-0.01602009910185445,-0.0075299345570018494,6.507910853,5289
1-4,0.009544324465520613,-0.01666395462523746,-0.0071196301597168474,1.285771342,808
1-5,0.008251173615130565,-0.016003511275597765,-0.0077523376604672,0.798336557,502
1-6,0.008825536010868544,-0.01693561711387956,-0.008110081103011015,1.811775918,1135
1-7,0.008672537704094891,-0.01888211026132331,-0.01020957255722842,0.524198934,316
1-8,0.009181022923381101,-0.018833175133608687,-0.009652152210227586,0.521473416,327
1-9,0.009556555895848648,-0.01915019957629342,-0.00959364368044477,0.313366205,186
2-1,0.009131818266786385,0.06334591489470333,0.07247773316148971,3.608777455,2646
2-2,0.00997099430923798,0.06761311259698166,0.07758410690621964,18.069605876,12642
2-3,0.007679347507403622,0.057237784048204024,0.06491713155560765,4.700224041,3270
2-4,0.009718952757194154,0.026489017012427566,0.03620796976962172,6.600669736,5160
2-5,0.00853584443411487,0.07265204441016238,0.08118788884427725,20.093168163,13582
2-6,0.009360838561191645,0.03437885664544764,0.043739695206639284,12.947222003,9452
2-7,0.008636482634674966,0.05358598115665321,0.062222463791328175,22.823357104,15891
2-8,0.009801604727637372,0.07541316096756702,0.08521476569520439,3.956416882,2531
2-9,0.008979307208556483,0.026350700459261314,0.0353300076678178,48.564885114,35828
3-1,0.009027852109990395,0.06785272453496394,0.07688057664495433,7.585188078,5546
3-2,0.009599394354595225,0.03295168764884987,0.042551082003445095,5.393745757,3788
3-3,0.00848136566839542,0.02607785442177641,0.03455922009017183,23.137128039,17386
3-4,0.007491182075121713,0.06520908036376512,0.07270026243888683,3.566227092,2602
3-5,0.009524249425928555,0.06027461446000454,0.0697988638859331,7.37004786,5154
3-6,0.008523279577719828,0.02776885649314192,0.03629213607086175,55.670823878,37722
3-7,0.009470257862061779,0.08377839327663496,0.09324865113869674,17.132786875,11768
3-8,0.009999949807395617,0.05270309490599211,0.06270304471338772,14.581864063,9807
3-9,0.009191174207213465,0.12360632517735723,0.1327974993845707,14.93400359,9982
4-1,0.018126772865407807,0.02943550389999356,0.04756227676540137,60.00069349,47439
4-2,0.008839588181019861,0.035532082726706396,0.04437167090772626,17.495701738,11804
4-3,0.009249930646639537,0.048830869509467134,0.05808080015610667,6.982125471,5061
4-4,0.008935040497058469,0.05589360247097354,0.06482864296803201,3.48758256,2508
4-5,0.008995151966556841,0.05281314457240319,0.06180829653896003,49.234814591,37698
4-6,0.024445801222207575,0.07144177716849265,0.09588757839070022,60.000532714,40737
4-7,0.006513605791249058,0.07932591943851951,0.08583952522976857,16.003222455,10635
4-8,0.008976014983823458,0.11906867528887559,0.12804469027269905,20.072163261,13982
4-9,0.009925396306085618,0.022050452890972363,0.03197584919705798,47.187406066,32333
5-1,0.009784076145544496,0.045818198456333004,0.0556022746018775,4.286218156,2954
5-2,0.00989711404761983,0.029736838508930448,0.03963395255655028,8.669375116,6291
5-3,0.00978449116395294,0.023398872056443337,0.03318336322039628,8.978108305,7214
5-4,0.009602519704080131,0.04629947249890427,0.055901992202984405,6.194543409,4897
5-5,0.0089618976875546,0.042533836676437196,0.051495734363991796,8.277934326,5656
5-6,0.008887741179738506,0.044160897236053154,0.05304863841579166,18.12863387,12810
5-7,0.009897928793754451,0.06597727948957904,0.0758752082833335,8.631270635,5970
5-8,0.008340725034072127,0.08073487345222508,0.0890755984862972,10.944803391,7333
5-9,0.009039369955213317,0.06340240652694626,0.07244177648215958,16.229808481,11068
