network,gap,lower_bound,upper_bound,time,steps
1-1,0.00937101791236146,-0.017807535560300215,-0.008436517647938756,0.471916726,236
1-2,0.009361691353157082,-0.017583285532380824,-0.008221594179223742,1.175281233,771
1-3,0.008490164544852602,-0.01602009910185445,-0.0075299345570018494,4.873492572,4207
1-4,0.009726357819078033,-0.016607520439646334,-0.006881162620568301,0.923689276,620
1-5,0.008325609128810741,-0.01566589139553006,-0.00734028226671932,0.598322669,424
1-6,0.008653116278476885,-0.01693561711387956,-0.008282500835402674,1.161514983,783
1-7,0.008767840794831793,-0.01888211026132331,-0.010114269466491518,0.434127554,247
1-8,0.00946171553482047,-0.0189785716116655,-0.00951685607684503,0.756377592,256
1-9,0.009410561099017972,-0.019020982434225807,-0.009610421335207835,0.265828141,168
2-1,0.009131818266786385,0.06334591489470333,0.07247773316148971,3.200795138,2559
2-2,0.00997099430923798,0.06761311259698166,0.07758410690621964,14.709778438,11125
2-3,0.007679347507403622,0.057237784048204024,0.06491713155560765,4.006857259,2989
2-4,0.009718952757194154,0.026489017012427566,0.03620796976962172,6.029870664,4897
2-5,0.00853584443411487,0.07265204441016238,0.08118788884427725,17.66850756,12782
2-6,0.009360838561191645,0.03437885664544764,0.043739695206639284,11.435833409,8765
2-7,0.008636482634674966,0.05358598115665321,0.062222463791328175,21.202638403,15658
2-8,0.009801604727637372,0.07541316096756702,0.08521476569520439,3.366452274,2350
2-9,0.009430124356974413,0.025899883310843384,0.0353300076678178,48.232375403,36563
3-1,0.009885023884216915,0.06785272453496394,0.07773774841918085,6.348532167,4792
3-2,0.009599394354595225,0.03295168764884987,0.042551082003445095,5.016951083,3803
3-3,0.008758199859572956,0.02570490686640945,0.034463106725982406,21.541700309,16897
3-4,0.007491182075121713,0.06520908036376512,0.07270026243888683,3.288232805,2526
3-5,0.009524249425928555,0.06027461446000454,0.0697988638859331,5.856718599,4408
3-6,0.009498949589393308,0.02679318648146844,0.03629213607086175,50.870702116,36592
3-7,0.009470257862061779,0.08377839327663496,0.09324865113869674,14.205696099,10394
3-8,0.009999949807395617,0.05270309490599211,0.06270304471338772,11.68966309,8576
3-9,0.009191174207213465,0.12360632517735723,0.1327974993845707,12.878519818,9113
4-1,0.016306387291702466,0.02943550389999356,0.04574189119169603,60.000457597,49495
4-2,0.008839588181019861,0.035532082726706396,0.04437167090772626,15.127459309,11088
4-3,0.009249930646639537,0.048830869509467134,0.05808080015610667,6.028734339,4754
4-4,0.008935040497058469,0.05589360247097354,0.06482864296803201,3.009544993,2307
4-5,0.008995151966556841,0.05281314457240319,0.06180829653896003,45.461343852,35999
4-6,0.018078885773704034,0.07144177716849265,0.08952066294219668,60.000385377,44056
4-7,0.006513605791249058,0.07932591943851951,0.08583952522976857,13.197276857,9560
4-8,0.008976014983823458,0.11906867528887559,0.12804469027269905,17.307116797,12509
4-9,0.009925396306085618,0.022050452890972363,0.03197584919705798,40.030059588,29479
5-1,0.009784076145544496,0.045818198456333004,0.0556022746018775,3.503411452,2627
5-2,0.008759480385078483,0.029970845656272026,0.03873032604135051,8.376593936,6421
5-3,0.009799078820941338,0.02338428439945494,0.03318336322039628,8.47388267,7061
5-4,0.009602519704080131,0.04629947249890427,0.055901992202984405,6.001267024,4781
5-5,0.008961897687554655,0.04253383667643714,0.051495734363991796,6.451030214,5014
5-6,0.008887741179738506,0.044160897236053154,0.05304863841579166,16.18327271,12107
5-7,0.009897928793754451,0.06597727948957904,0.0758752082833335,7.716617089,5715
5-8,0.008340725034072127,0.08073487345222508,0.0890755984862972,8.773862822,6534
5-9,0.009039369955213317,0.06340240652694626,0.07244177648215958,13.569660341,10064
