network,gap,lower_bound,upper_bound,time,steps
1-1,0.0008294817026514544,-0.017922384732471243,-0.01709290302981979,18.229695919,87600
1-2,0.0006004513919170215,-0.01691017912885126,-0.01630972773693424,14.137063879,68700
1-3,0.007477618381140173,-0.017310261037025973,-0.0098326426558858,60.07967886,280100
1-4,0.0004634016154854044,-0.01614648602529201,-0.015683084409806605,5.594709008,21600
1-5,0.0006553707261563266,-0.015487255354167617,-0.01483188462801129,6.259983118,28300
1-6,0.0006406690805682153,-0.016925942767994473,-0.016285273687426258,13.320327305,50900
1-7,0.000525327146155434,-0.019143750594063456,-0.01861842344790802,4.403233289,18700
1-8,0.0008817951445253443,-0.01885823569522866,-0.017976440550703316,1.338648974,5000
1-9,0.0005339204479975768,-0.019272073406384684,-0.018738152958387107,0.592405533,2000
2-1,0.0010814436919917847,0.06430820456071307,0.06538964825270485,60.009163838,274800
2-2,0.00139387165374176,0.06762826754953863,0.06902213920328039,60.002500952,262200
2-3,0.007445235421070492,0.05673646120486693,0.06418169662593742,60.011675657,279800
2-4,0.00936902033548526,0.026252163810430284,0.035621184145915544,60.001761352,274200
2-5,0.04118897338977947,0.049519587912949976,0.09070856130272945,60.006746589,230300
2-6,0.03769438517039177,0.03100343637327393,0.0686978215436657,60.008924223,255200
2-7,0.04928636167594806,0.04447879671364427,0.09376515838959233,60.000066492,227000
2-8,0.02127521306663041,0.06846496337137793,0.08974017643800834,60.013038131,223100
2-9,0.041872162400110775,0.025742096722043438,0.06761425912215421,60.011373964,222600
3-1,0.025275173043690993,0.06763540121807063,0.09291057426176162,60.006755946,249400
3-2,0.027877778145721427,0.03316765750448254,0.06104543565020397,60.005134989,280000
3-3,0.13232648377641965,0.025016451286158883,0.15734293506257854,60.004974383,260300
3-4,0.004237200114528009,0.063938371033037,0.068175571147565,60.00923723,284100
3-5,0.04520337335619702,0.045844560033817164,0.09104793339001419,60.047518022,246700
3-6,0.013726043404879557,0.02658990322164524,0.040315946626524796,60.009119162,238200
3-7,0.021084369162808134,0.07532018312419221,0.09640455228700034,60.009833128,241000
3-8,0.056212572762975796,0.028506605708128588,0.08471917847110438,60.012592567,237200
3-9,0.09120633368920207,0.0983677102883188,0.18957404397752087,60.000947571,232800
4-1,0.07710549003339698,0.02662656171179767,0.10373205174519465,60.005035727,255400
4-2,0.0031817423967340774,0.035357731798704675,0.03853947419543875,60.003733752,262500
4-3,0.003989053985611696,0.04919576854517127,0.053184822530782966,60.009652222,281100
4-4,0.0007094976879446491,0.055661779431678785,0.056371277119623434,16.929127994,78800
4-5,0.007857255876472909,0.05265593909947998,0.06051319497595289,60.002219801,262600
4-6,0.0739873779549779,0.06027369788256384,0.13426107583754174,60.01984518,222600
4-7,0.06122890724760778,0.05950621436438304,0.12073512161199082,60.025665104,225700
4-8,0.023331081098857245,0.11377961101889543,0.13711069211775267,60.002903499,235800
4-9,0.3346238347254291,0.021450828517931342,0.35607466324336046,60.02290621,213800
5-1,0.10376436077903291,0.038925437387416176,0.14268979816644908,60.012912382,269100
5-2,0.009498566917924417,0.029382836844343334,0.03888140376226775,60.006345389,267400
5-3,0.007489178228538215,0.023400598222363164,0.03088977645090138,60.004613232,270200
5-4,0.003997865055214128,0.04576375097269601,0.04976161602791014,60.002336207,275600
5-5,0.009557215951428819,0.04117909233138042,0.050736308282809235,60.038449866,266200
5-6,0.026845248850182683,0.03488923663166391,0.061734485481846596,60.043932852,245300
5-7,0.019779565025452854,0.05758889738023395,0.0773684624056868,60.008068687,246300
5-8,0.050723847368047,0.061647438024204276,0.11237128539225127,60.004792362,242000
5-9,0.03212515495749143,0.04691975736614503,0.07904491232363646,60.000332926,238100
