network,gap,lower_bound,upper_bound,time,steps
1-1,0.0009467693082430353,-0.017951806125810817,-0.017005036817567782,18.419353397,85995
1-2,0.000995527613824012,-0.017126813480147905,-0.016131285866323893,14.077219692,66558
1-3,0.006942247351812907,-0.01648673999949664,-0.009544492647683731,60.00009793,267065
1-4,0.0007024117263150186,-0.01600501716162104,-0.01530260543530602,4.167214522,17602
1-5,0.000847209165164356,-0.015556277596364198,-0.014709068431199842,6.046118065,27119
1-6,0.0008840796228398382,-0.01699553251859931,-0.016111452895759472,11.776971769,46171
1-7,0.0007887391364644752,-0.0189022486476419,-0.018113509511177423,2.243430663,9184
1-8,0.0009367221318805838,-0.01879418823681815,-0.017857466104937565,1.14132814,4390
1-9,0.0007448644203895648,-0.01915019957629342,-0.018405335155903854,0.439696593,1498
2-1,0.0009875503463649266,0.0644740699398617,0.06546162028622662,58.644012883,266277
2-2,0.0014982789043893746,0.06797425230737082,0.0694725312117602,60.00009972,264110
2-3,0.007144213069141828,0.057194955356786883,0.06433916842592871,60.000156784,276575
2-4,0.009235536436929256,0.026511831164426274,0.03574736760135553,60.000042817,266952
2-5,0.02931517962468517,0.06003984322370264,0.08935502284838781,60.000083785,238913
2-6,0.034843607836925944,0.034236510281670365,0.06908011811859631,60.000215024,251406
2-7,0.04148659935537541,0.04968455585432563,0.09117115520970104,60.000138659,239567
2-8,0.012965024543076686,0.07406514193591035,0.08703016647898704,60.000049264,230971
2-9,0.040898290976450036,0.026344767449384354,0.06724305842583439,60.000214747,224801
3-1,0.02447743982568558,0.06799407148495394,0.09247151131063952,60.077608743,253340
3-2,0.027686084156142488,0.03330942911120109,0.06099551326734358,60.000063171,281188
3-3,0.1316842239783996,0.025524720602578987,0.1572089445809786,60.000194139,261175
3-4,0.0034256116419746907,0.06478722892844886,0.06821284057042355,60.000050639,280443
3-5,0.04127338357930163,0.049449696306032326,0.09072307988533396,60.000186926,248124
3-6,0.013568890113802242,0.026785603281472257,0.0403544933952745,60.000062791,237011
3-7,0.017616737240081323,0.07845331483958344,0.09607005207966476,60.000230279,243436
3-8,0.0450998023775789,0.03975538408702662,0.08485518646460552,60.000195773,236487
3-9,0.0711640180857677,0.1151544375239412,0.1863184556097089,60.040994439,237128
4-1,0.07495377093713818,0.02748502057282385,0.10243879150996202,60.000054734,263049
4-2,0.0033515327224858185,0.03532315873885373,0.03867469146133955,60.000061791,252137
4-3,0.003294399069462016,0.049928906726758024,0.05322330579622004,60.000181224,276635
4-4,0.0008952017309794072,0.05570240433468948,0.05659760606566889,16.413269687,73097
4-5,0.007685587650514858,0.05291170145545586,0.06059728910597072,60.000143555,259097
4-6,0.06745091641012921,0.06459268520889169,0.1320436016190209,60.000087427,229942
4-7,0.0531878012485944,0.06500899578286592,0.11819679703146033,60.000093254,235274
4-8,0.01950337358706168,0.1169231897210523,0.13642656330811398,60.000054184,241876
4-9,0.32038545618806896,0.022071711306638,0.34245716749470695,60.00007665,222794
5-1,0.10249222310730394,0.0399982800173867,0.14249050312469064,60.000030876,271202
5-2,0.009528764006921028,0.029411750681890503,0.03894051468881153,60.000133099,263705
5-3,0.00743881274910016,0.023434625979463816,0.030873438728563976,60.000026784,271831
5-4,0.003043821796943756,0.04667882405771662,0.04972264585466037,60.000103815,277810
5-5,0.008580702223407025,0.04210064704661929,0.050681349270026314,60.000033465,268542
5-6,0.02547162443429983,0.036217499640330914,0.061689124074630744,60.000191302,245870
5-7,0.016653921689338262,0.06054797711292031,0.07720189880225857,60.000218286,248210
5-8,0.050297725748522926,0.06191735577776765,0.11221508152629057,60.000092288,243214
5-9,0.026016772508001128,0.05255423426190715,0.07857100676990827,60.000156327,242163
