network,gap,lower_bound,upper_bound,time,steps
1-1,0.009425167878953533,-0.019173449394388153,-0.00974828151543462,5.318014011,22200
1-2,0.00944856635978483,-0.0182782963952272,-0.00882973003544237,7.937327542,34400
1-3,0.008598806321316467,-0.017310261037025973,-0.008711454715709506,51.311001211,240300
1-4,0.008098869732385243,-0.017073488194293704,-0.008974618461908461,2.006225207,8000
1-5,0.009667403383484983,-0.016921619241755816,-0.0072542158582708325,1.266946486,5400
1-6,0.009377445073701543,-0.017967775427161832,-0.008590330353460289,3.926422228,14700
1-7,0.008929236031502186,-0.019202407213750716,-0.01027317118224853,0.292203372,900
1-8,0.009229678037229298,-0.01931791456263212,-0.010088236525402822,0.424091241,1500
1-9,0.00563068797936964,-0.019272073406384684,-0.013641385427015044,0.109492175,300
2-1,0.006725265815447204,0.06328902966410838,0.07001429547955558,26.0401482,127700
2-2,0.0076197619613713324,0.06665597101647334,0.07427573297784468,26.652471192,119200
2-3,0.009434120743297705,0.056645791474366936,0.06607991221766464,43.244537537,208300
2-4,0.009386188403724693,0.026252163810430284,0.03563835221415498,58.535405448,273200
2-5,0.03903076764542265,0.049519587912949976,0.08855035555837262,60.018653291,244600
2-6,0.03702552239180257,0.03100343637327393,0.0680289587650765,60.01065908,261900
2-7,0.04623644710355246,0.04447879671364427,0.09071524381719673,60.017172302,241900
2-8,0.016023994531772015,0.06846496337137793,0.08448895790314995,60.019062284,240100
2-9,0.03977026214188637,0.025742096722043438,0.06551235886392981,60.016466619,235500
3-1,0.023875887877902263,0.06763540121807063,0.09151128909597289,60.026771579,262900
3-2,0.02717181026441326,0.03316765750448254,0.0603394677688958,60.017348833,296900
3-3,0.13150076352152112,0.025016451286158883,0.15651721480768,60.002334644,265800
3-4,0.009590730701950656,0.06350187843474847,0.07309260913669913,22.004286371,110100
3-5,0.041922272941506716,0.045844560033817164,0.08776683297532388,60.012389131,261400
3-6,0.013382240752101402,0.02658990322164524,0.03997214397374664,60.007105664,249000
3-7,0.01922560343857921,0.07583693894136287,0.09506254237994208,60.005029664,251200
3-8,0.054500402752554314,0.028506605708128588,0.0830070084606829,60.015137784,246000
3-9,0.07203903621885713,0.1061175445633745,0.17815658078223162,60.007012475,248400
4-1,0.07489225301909477,0.02662656171179767,0.10151881473089244,60.013514199,268600
4-2,0.009923879283395068,0.03359987120009358,0.043523750483488645,19.61699444,85900
4-3,0.009406822937763723,0.04904843228612597,0.058455255223889696,17.367640626,85100
4-4,0.007381563324911786,0.05490385973788525,0.06228542306279704,6.025440363,28100
4-5,0.009038991727948475,0.05265593909947998,0.061694930827428454,48.602548747,219300
4-6,0.0706225150628399,0.06027369788256384,0.13089621294540374,60.009388458,234100
4-7,0.05733536618899744,0.05950621436438304,0.11684158055338048,60.010705133,240800
4-8,0.021808850644641983,0.11377961101889543,0.1355884616635374,60.016966911,248800
4-9,0.31059113682079237,0.021450828517931342,0.3320419653387237,60.029014841,230000
5-1,0.10262727945676363,0.038925437387416176,0.1415527168441798,60.024281703,281300
5-2,0.009310323699508558,0.029382836844343334,0.03869316054385189,60.009110475,279500
5-3,0.009766907612022181,0.023388061202437582,0.03315496881445976,24.588216947,120100
5-4,0.009090200193840603,0.044442626909817734,0.05353282710365834,29.867380926,149900
5-5,0.009142568186402321,0.04117909233138042,0.05032166051778274,60.009947483,284200
5-6,0.025504081196109148,0.03488923663166391,0.06039331782777306,60.009303265,263000
5-7,0.018905566128740788,0.05758889738023395,0.07649446350897474,60.01250876,256500
5-8,0.04861539819668026,0.061647438024204276,0.11026283622088454,60.004116312,260500
5-9,0.030358937551358607,0.04691975736614503,0.07727869491750364,60.014998554,254400
